series_title
"Shelter in U.S. city average, all urban consumers, seasonally adjusted"
"Shelter in U.S. city average, all urban consumers, not seasonally adjusted"
"Shelter in Northeast urban, all urban consumers, not seasonally adjusted"
"Shelter in New England, all urban consumers, not seasonally adjusted"
"Shelter in Middle Atlantic, all urban consumers, not seasonally adjusted"
"Shelter in Midwest urban, all urban consumers, not seasonally adjusted"
"Shelter in East North Central, all urban consumers, not seasonally adjusted"
"Shelter in West North Central, all urban consumers, not seasonally adjusted"
"Shelter in South urban, all urban consumers, not seasonally adjusted"
"Shelter in South Atlantic, all urban consumers, not seasonally adjusted"
"Shelter in East South Central, all urban consumers, not seasonally adjusted"
"Shelter in West South Central, all urban consumers, not seasonally adjusted"
"Shelter in West urban, all urban consumers, not seasonally adjusted"
"Shelter in Mountain, all urban consumers, not seasonally adjusted"
"Shelter in Pacific, all urban consumers, not seasonally adjusted"
"Shelter in Pittsburgh, PA, all urban consumers, not seasonally adjusted"
"Shelter in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted"
"Shelter in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted"
"Shelter in Los Angeles-Riverside-Orange County, CA, all urban consumers, not seasonally adjusted"
"Shelter in Size Class D (under 50,000), all urban consumers, not seasonally adjusted"
"Shelter in Midwest - Size Class D, all urban consumers, not seasonally adjusted"
"Shelter in South - Size Class D, all urban consumers, not seasonally adjusted"
"Shelter in Size Class B/C, all urban consumers, not seasonally adjusted"
"Shelter in Northeast - Size Class B/C, all urban consumers, not seasonally adjusted"
"Shelter in Midwest - Size Class B/C, all urban consumers, not seasonally adjusted"
"Shelter in South - Size Class B/C, all urban consumers, not seasonally adjusted"
"Shelter in West - Size Class B/C, all urban consumers, not seasonally adjusted"
"Shelter in Size Class A, all urban consumers, not seasonally adjusted"
"Shelter in Northeast - Size Class A, all urban consumers, not seasonally adjusted"
"Shelter in Boston-Cambridge-Newton, MA-NH, all urban consumers, not seasonally adjusted"
"Shelter in New York-Newark-Jersey City, NY-NJ-PA, all urban consumers, not seasonally adjusted"
"Shelter in Philadelphia-Camden-Wilmington, PA-NJ-DE-MD, all urban consumers, not seasonally adjusted"
"Shelter in Midwest - Size Class A, all urban consumers, not seasonally adjusted"
"Shelter in Chicago-Naperville-Elgin, IL-IN-WI, all urban consumers, not seasonally adjusted"
"Shelter in Detroit-Warren-Dearborn, MI, all urban consumers, not seasonally adjusted"
"Shelter in Minneapolis-St.Paul-Bloomington, MN-WI, all urban consumers, not seasonally adjusted"
"Shelter in St. Louis, MO-IL, all urban consumers, not seasonally adjusted"
"Shelter in South - Size Class A, all urban consumers, not seasonally adjusted"
"Shelter in Washington-Arlington-Alexandria, DC-VA-MD-WV, all urban consumers, not seasonally adjusted"
"Shelter in Miami-Fort Lauderdale-West Palm Beach, FL, all urban consumers, not seasonally adjusted"
"Shelter in Atlanta-Sandy Springs-Roswell, GA, all urban consumers, not seasonally adjusted"
"Shelter in Tampa-St. Petersburg-Clearwater, FL, all urban consumers, not seasonally adjusted"
"Shelter in Baltimore-Columbia-Towson, MD, all urban consumers, not seasonally adjusted"
"Shelter in Dallas-Fort Worth-Arlington, TX, all urban consumers, not seasonally adjusted"
"Shelter in Houston-The Woodlands-Sugar Land, TX, all urban consumers, not seasonally adjusted"
"Shelter in West - Size Class A, all urban consumers, not seasonally adjusted"
"Shelter in Phoenix-Mesa-Scottsdale, AZ, all urban consumers, not seasonally adjusted"
"Shelter in Denver-Aurora-Lakewood, CO, all urban consumers, not seasonally adjusted"
"Shelter in Los Angeles-Long Beach-Anaheim, CA, all urban consumers, not seasonally adjusted"
"Shelter in San Francisco-Oakland-Hayward, CA, all urban consumers, not seasonally adjusted"
"Shelter in Riverside-San Bernardino-Ontario, CA, all urban consumers, not seasonally adjusted"
"Shelter in Seattle-Tacoma-Bellevue, WA, all urban consumers, not seasonally adjusted"
"Shelter in San Diego-Carlsbad, CA, all urban consumers, not seasonally adjusted"
"Shelter in Urban Hawaii, all urban consumers, not seasonally adjusted"
"Shelter in Urban Alaska, all urban consumers, not seasonally adjusted"
"Shelter in Milwaukee-Racine, WI, all urban consumers, not seasonally adjusted"
"Shelter in Cincinnati-Hamilton, OH-KY-IN, all urban consumers, not seasonally adjusted"
"Shelter in Kansas City, MO-KS, all urban consumers, not seasonally adjusted"
"Shelter in Portland-Salem, OR-WA, all urban consumers, not seasonally adjusted"
